SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,IM_DIAGNOSTIC,22,204.6
LED16,6.1,YES,30.0,446.98,YES,,,,,,,3,2,IM_DIAGNOSTIC,22,402.6
,,,,,,LED26,12.9,YES,30.0,827.4,,15,3,IM_DIAGNOSTIC,11,709.5
LED16,6.1,YES,30.0,446.98,YES,LED26,12.9,NO,,,YES,3,3,IM_DIAGNOSTIC,7,263.1
,,,,,,,,,,,,28,4,IM_DIAGNOSTIC,7,607.6
LED16,6.1,YES,30.0,446.98,YES,,,,,,,3,5,DROP_10_OF_11,16,1741.8
,,,,,,LED26,12.9,YES,30.0,827.4,,3,6,DROP_2_OF_3,26,904.8
LED16,6.1,YES,30.0,446.98,YES,LED26,12.9,NO,,,YES,3,6,DROP_2_OF_3,18,681.6
,,,,,,,,,,,,6,7,DROP_1_OF_2,19,688.2
LED16,27.3,YES,30.0,1193.3,,,,,,,,3,8,DROP_1_OF_2,19,542.1
LED16,27.3,NO,,,YES,LED26,12.9,YES,30.0,827.4,,3,8,DROP_1_OF_2,13,430.5
,,,,,,LED26,12.9,NO,,,,3,8,DROP_1_OF_2,39,716.1
,,,,,,LED26,58.0,YES,30.0,1081.66,,3,8,DROP_1_OF_2,9,356.1
LED16,6.1,YES,30.0,446.98,,LED26,58.0,NO,,,,3,8,DROP_1_OF_2,9,356.1
LED16,27.3,YES,30.0,846.21,YES,LED26,58.0,NO,,,YES,3,8,DROP_1_OF_2,7,318.9
,,,,,,,,,,,,17,9,IM_DIAGNOSTIC,12,632.4
LED16,6.1,YES,30.0,446.98,,,,,,,,3,10,IM_DIAGNOSTIC,22,402.6
LED16,123.0,YES,30.0,3200.47,,,,,,,,3,10,IM_DIAGNOSTIC,8,272.4
LED16,123.0,NO,,,YES,LED26,58.0,YES,30.0,1809.68,,4,10,IM_DIAGNOSTIC,6,272.4
,,,,,,LED26,58.0,NO,,,,12,10,IM_DIAGNOSTIC,17,632.4
,,,,,,LED26,261.0,YES,30.0,3980.93,,5,10,IM_DIAGNOSTIC,4,260.0
LED16,27.3,YES,30.0,1193.3,,LED26,261.0,NO,,,,5,10,IM_DIAGNOSTIC,4,260.0
LED16,123.0,YES,30.0,2454.15,YES,LED26,261.0,NO,,,YES,5,10,IM_DIAGNOSTIC,4,260.0
,,,,,,,,,,,,49,11,IM_DIAGNOSTIC,4,607.6
LED16,27.3,YES,30.0,1193.3,,,,,,,,3,12,DROP_3_OF_4,10,542.1
LED16,123.0,YES,30.0,2454.15,,,,,,,,3,12,DROP_3_OF_4,27,1174.5
LED16,123.0,NO,,,YES,LED26,58.0,YES,30.0,1809.68,,3,12,DROP_3_OF_4,19,876.9
,,,,,,LED26,58.0,NO,,,,12,12,DROP_3_OF_4,5,632.4
,,,,,,LED26,261.0,YES,30.0,3980.93,,3,12,DROP_3_OF_4,14,690.9
LED16,27.3,YES,30.0,1193.3,,LED26,261.0,NO,,,,3,12,DROP_3_OF_4,12,616.5
LED16,123.0,YES,30.0,2454.15,YES,LED26,261.0,NO,,,YES,3,12,DROP_3_OF_4,10,542.1
,,,,,,,,,,,,6,13,DROP_1_OF_2,18,651.0
LED16,27.3,YES,30.0,1193.3,,,,,,,,3,14,DROP_1_OF_2,19,542.1
LED16,553.6,YES,30.0,14707.5,,,,,,,,3,14,DROP_1_OF_2,13,430.5
LED16,553.6,NO,,,YES,LED26,261.0,YES,30.0,5691.22,,3,14,DROP_1_OF_2,9,356.1
,,,,,,LED26,261.0,NO,,,,4,14,DROP_1_OF_2,26,632.4
,,,,,,LED26,1174.3,YES,30.0,31741.94,,3,14,DROP_1_OF_2,6,300.3
LED16,123.0,YES,30.0,3547.57,,LED26,1174.3,NO,,,,3,14,DROP_1_OF_2,6,300.3
LED16,553.6,YES,30.0,12353.84,YES,LED26,1174.3,NO,,,YES,3,14,DROP_1_OF_2,5,281.7
,,,,,,,,,,,,25,15,IM_DIAGNOSTIC,8,620.0
,,,,,,LED26,1174.3,YES,30.0,37333.77,YES,3,16,IM_DIAGNOSTIC,11,300.3
LED16,123.0,YES,30.0,3547.57,,,,,,,,21,17,IM_DIAGNOSTIC,8,718.8
LED16,553.6,YES,30.0,12353.84,,,,,,,,3,17,IM_DIAGNOSTIC,24,421.2
LED16,2491.1,YES,52.0,38857.28,,,,,,,,4,17,IM_DIAGNOSTIC,6,272.4
LED16,2491.1,NO,,,YES,LED26,1174.3,YES,30.0,37333.77,,5,17,IM_DIAGNOSTIC,4,260.0
,,,,,,LED26,1174.3,NO,,,,18,17,IM_DIAGNOSTIC,11,613.8
,,,,,,LED26,5284.5,YES,109.0,39316.0,,5,17,IM_DIAGNOSTIC,4,260.0
LED16,553.6,YES,30.0,15800.92,,LED26,5284.5,NO,,,,5,17,IM_DIAGNOSTIC,4,260.0
LED16,2491.1,YES,52.0,38857.28,YES,LED26,5284.5,NO,,,YES,5,17,IM_DIAGNOSTIC,4,260.0
,,,,,,,,,,,,49,18,IM_DIAGNOSTIC,4,607.6
LED16,553.6,YES,30.0,15800.92,,,,,,,,3,19,IM_DIAGNOSTIC,24,421.2
LED16,2491.1,YES,52.0,38857.28,YES,,,,,,,4,19,IM_DIAGNOSTIC,6,272.4
,,,,,,LED26,5284.5,YES,138.0,39169.67,YES,5,20,IM_DIAGNOSTIC,4,260.0
,,,,,,,,,,,,49,21,IM_DIAGNOSTIC,4,607.6
LED16,2491.1,YES,63.0,39566.81,YES,,,,,,,4,22,IM_DIAGNOSTIC,6,272.4
,,,,,,LED26,5284.5,YES,138.0,39169.67,YES,5,23,IM_DIAGNOSTIC,4,260.0
,,,,,,,,,,,,5,24,IM_DIAGNOSTIC,4,62.0
