SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_SETTLE,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_SETTLE,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB2_CLEANUP,NEXP,VISIT_NUMBER,MA_TABLE,RESULTANTS_PER_EXPOSURE,ACT_TIME
,,,,,,,,,,,,3,1,IM_DIAGNOSTIC,22,204.6
LED16,6.1,YES,30,446.98,YES,,,,,,,3,2,IM_DIAGNOSTIC,22,402.6
,,,,,,LED26,12.9,YES,30,827.4,,15,3,IM_DIAGNOSTIC,11,709.5
LED16,6.1,YES,30,446.98,YES,LED26,12.9,NO,,,YES,3,3,IM_DIAGNOSTIC,7,263.1
,,,,,,,,,,,,28,4,IM_DIAGNOSTIC,7,607.6
LED16,6.1,YES,30,446.98,YES,,,,,,,3,5,DROP_10_OF_11,15,1732.5
,,,,,,LED26,12.9,YES,30,827.4,,3,6,DROP_2_OF_3,26,923.4
LED16,6.1,YES,30,446.98,YES,LED26,12.9,NO,,,YES,3,6,DROP_2_OF_3,17,672.3
,,,,,,,,,,,,6,7,DROP_1_OF_2,18,669.6
LED16,27.3,YES,30,1193.3,,,,,,,,3,8,DROP_1_OF_2,18,532.8
LED16,27.3,NO,,,YES,LED26,12.9,YES,30,827.4,,3,8,DROP_1_OF_2,13,439.8
,,,,,,LED26,12.9,NO,,,,3,8,DROP_1_OF_2,38,706.8
,,,,,,LED26,58,YES,30,1081.66,,3,8,DROP_1_OF_2,9,365.4
LED16,6.1,YES,30,446.98,,LED26,58,NO,,,,3,8,DROP_1_OF_2,8,346.8
LED16,27.3,YES,30,846.21,YES,LED26,58,NO,,,YES,3,8,DROP_1_OF_2,6,309.6
,,,,,,,,,,,,17,9,IM_DIAGNOSTIC,12,632.4
LED16,6.1,YES,30,446.98,,,,,,,,3,10,IM_DIAGNOSTIC,22,402.6
LED16,123,YES,30,3200.47,,,,,,,,3,10,IM_DIAGNOSTIC,8,272.4
LED16,123,NO,,,YES,LED26,58,YES,30,1809.68,,4,10,IM_DIAGNOSTIC,6,272.4
,,,,,,LED26,58,NO,,,,12,10,IM_DIAGNOSTIC,17,632.4
,,,,,,LED26,261,YES,30,3980.93,,5,10,IM_DIAGNOSTIC,4,260
LED16,27.3,YES,30,1193.3,,LED26,261,NO,,,,5,10,IM_DIAGNOSTIC,4,260
LED16,123,YES,30,2454.15,YES,LED26,261,NO,,,YES,5,10,IM_DIAGNOSTIC,4,260
,,,,,,,,,,,,49,11,IM_DIAGNOSTIC,4,607.6
LED16,27.3,YES,30,1193.3,,,,,,,,3,12,DROP_3_OF_4,9,532.8
LED16,123,YES,30,2454.15,,,,,,,,3,12,DROP_3_OF_4,27,1202.4
LED16,123,NO,,,YES,LED26,58,YES,30,1809.68,,3,12,DROP_3_OF_4,18,867.6
,,,,,,LED26,58,NO,,,,12,12,DROP_3_OF_4,5,744
,,,,,,LED26,261,YES,30,3980.93,,3,12,DROP_3_OF_4,13,681.6
LED16,27.3,YES,30,1193.3,,LED26,261,NO,,,,3,12,DROP_3_OF_4,12,644.4
LED16,123,YES,30,2454.15,YES,LED26,261,NO,,,YES,3,12,DROP_3_OF_4,9,532.8
,,,,,,,,,,,,6,13,DROP_1_OF_2,17,632.4
LED16,27.3,YES,30,1193.3,,,,,,,,3,14,DROP_1_OF_2,18,532.8
LED16,553.6,YES,30,14707.5,,,,,,,,3,14,DROP_1_OF_2,12,421.2
LED16,553.6,NO,,,YES,LED26,261,YES,30,5691.22,,3,14,DROP_1_OF_2,8,346.8
,,,,,,LED26,261,NO,,,,4,14,DROP_1_OF_2,25,620
,,,,,,LED26,1174.3,YES,30,31741.94,,3,14,DROP_1_OF_2,6,309.6
LED16,123,YES,30,3547.57,,LED26,1174.3,NO,,,,3,14,DROP_1_OF_2,5,291
