PASSPLAN_LABEL,OBSERVATION_NUMBER,OBSERVATION_TYPE,VISIT_NUMBER,TARGET,OPTICAL_ELEMENT,NEXP,MA_TABLE,RESULTANTS_PER_EXPOSURE,SRCS_LEDB1,SRCS_LEDB1_FLUX,SRCS_LEDB1_PRECHARGE_DURATION,SRCS_LEDB1_PRECHARGE_FLUX,SRCS_LEDB2,SRCS_LEDB2_FLUX,SRCS_LEDB2_PRECHARGE_DURATION,SRCS_LEDB2_PRECHARGE_FLUX,WFI_SRCS_LEDB1_CLEANUP,WFI_SRCS_LEDB2_CLEANUP,FIDUCIAL_APERTURE,ACTIVITY_DURATION_SEC,CUMULATIVE_TIME_SEC
T3-WFI03,3,lolo,3,3,F062,3,DROP_2_OF_3,13,LED11,12.0,,,,,,,NO,,WFI03_FULL,396.522,82643.944
T3-WFI03,3,lolo,3,3,F062,3,DROP_2_OF_3,13,LED11,120.0,,,,,,,NO,,WFI03_FULL,396.522,83040.466
T3-WFI03,3,lolo,3,3,F062,6,DROP_2_OF_3,6,LED11,1200.0,,,,,,,NO,,WFI03_FULL,394.572,83435.038
T3-WFI03,3,lolo,3,3,F062,6,DROP_2_OF_3,6,LED11,3000.0,,,,,,,YES,,WFI03_FULL,561.446,83996.484
T3-WFI03,4,dark,4,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,84393.006
T3-WFI03,5,sky,5,3,F087,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL,396.522,84789.528
T3-WFI03,6,lolo,6,3,F087,3,DROP_2_OF_3,13,LED12,12.0,,,,,,,NO,,WFI03_FULL,396.522,85186.05
T3-WFI03,6,lolo,6,3,F087,3,DROP_2_OF_3,13,LED12,120.0,,,,,,,NO,,WFI03_FULL,396.522,85582.572
T3-WFI03,6,lolo,6,3,F087,6,DROP_2_OF_3,6,LED12,1200.0,,,,,,,NO,,WFI03_FULL,394.572,85977.144
T3-WFI03,6,lolo,6,3,F087,6,DROP_2_OF_3,6,LED12,3000.0,,,,,,,YES,,WFI03_FULL,561.446,86538.59
T3-WFI03,7,dark,7,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,86935.112
T3-WFI03,8,sky,8,3,F106,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL,396.522,87331.634
T3-WFI03,9,lolo,9,3,F106,3,DROP_2_OF_3,13,LED13,12.0,,,,,,,NO,,WFI03_FULL,396.522,87728.156
T3-WFI03,9,lolo,9,3,F106,3,DROP_2_OF_3,13,LED13,120.0,,,,,,,NO,,WFI03_FULL,396.522,88124.678
T3-WFI03,9,lolo,9,3,F106,6,DROP_2_OF_3,6,LED13,1200.0,,,,,,,NO,,WFI03_FULL,394.572,88519.25
T3-WFI03,9,lolo,9,3,F106,6,DROP_2_OF_3,6,LED13,3000.0,,,,,,,YES,,WFI03_FULL,561.446,89080.696
T3-WFI03,10,dark,10,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,89477.218
T3-WFI03,11,sky,11,3,F129,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL,396.522,89873.74
T3-WFI03,12,lolo,12,3,F129,3,DROP_2_OF_3,13,LED14,12.0,30.0,1467.7,,,,,NO,,WFI03_FULL,396.522,90270.262
T3-WFI03,12,lolo,12,3,F129,3,DROP_2_OF_3,13,LED14,120.0,30.0,8526.9,,,,,NO,,WFI03_FULL,396.522,90666.784
T3-WFI03,12,lolo,12,3,F129,6,DROP_2_OF_3,6,LED14,1200.0,45,51945.2,,,,,NO,,WFI03_FULL,394.572,91061.356
T3-WFI03,12,lolo,12,3,F129,6,DROP_2_OF_3,6,LED14,3000.0,74,52609.0,,,,,YES,,WFI03_FULL,561.446,91622.802
T3-WFI03,13,dark,13,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,92019.324
T3-WFI03,14,sky,14,3,F158,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL,396.522,92415.846
T3-WFI03,15,lolo,15,3,F158,3,DROP_2_OF_3,13,LED15,12.0,30.0,662.7,,,,,NO,,WFI03_FULL,396.522,92812.368
T3-WFI03,15,lolo,15,3,F158,3,DROP_2_OF_3,13,LED15,120.0,30.0,4430.3,,,,,NO,,WFI03_FULL,396.522,93208.89
T3-WFI03,15,lolo,15,3,F158,6,DROP_2_OF_3,6,LED15,1200.0,30.0,46819.4,,,,,NO,,WFI03_FULL,394.572,93603.462
T3-WFI03,15,lolo,15,3,F158,6,DROP_2_OF_3,6,LED15,3000.0,49,47742.7,,,,,YES,,WFI03_FULL,561.446,94164.908
T3-WFI03,16,dark,16,NONE,DARK,3,DROP_2_OF_3,13,,,,,,,,,,,,396.522,94561.43
T3-WFI03,17,sky,17,3,F184,3,DROP_2_OF_3,13,,,,,,,,,,,WFI03_FULL,396.522,94957.952
T3-WFI03,18,lolo,18,3,F184,3,DROP_2_OF_3,13,LED16,28.0,30.0,1105.7,,,,,NO,,WFI03_FULL,396.522,95354.474
T3-WFI03,18,lolo,18,3,F184,3,DROP_2_OF_3,13,LED16,280.0,30.0,8400.8,,,,,NO,,WFI03_FULL,396.522,95750.996
T3-WFI03,18,lolo,18,3,F184,6,DROP_2_OF_3,6,LED16,2800.0,57,45985.9,,,,,NO,,WFI03_FULL,394.572,96145.568
T3-WFI03,18,lolo,18,3,F184,6,DROP_2_OF_3,6,LED16,7000.0,95,45983.1,,,,,YES,,WFI03_FULL,561.446,96707.014
